"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan",student_id,"original subscription id","resurrected subscription id","days to resurrection"
NULL,NULL,"2021-01-30 02:26:09","2021-10-03 21:13:15","2021-04-01 00:00:00","2022-07-07 00:00:00","2021-03-28 00:00:00","2022-07-03 00:00:00",monthly,monthly,143454,3211,5607,185
"2021-07-17 00:00:00","2021-10-17 00:00:00","2021-07-08 16:55:39","2021-10-11 12:30:01","2021-08-08 00:00:00","2021-11-11 00:00:00","2021-08-08 00:00:00","2021-11-11 00:00:00",monthly,monthly,159207,4792,5657,64
NULL,NULL,"2021-01-28 23:46:06","2021-10-12 10:38:10","2021-05-10 00:00:00","2021-12-16 00:00:00","2021-05-01 03:00:00","2021-12-12 00:00:00",annual,monthly,2167,2061,5680,155
NULL,NULL,"2021-01-28 23:44:53","2021-10-13 06:26:33","2021-10-11 00:00:00","2022-10-22 00:00:00","2021-10-02 03:00:00","2022-10-13 00:00:00",annual,annual,3857,1185,5686,2
"2021-07-03 00:00:00","2021-11-16 00:00:00","2021-06-10 15:58:14","2021-10-15 01:34:00","2021-07-10 00:00:00","2021-12-15 00:00:00","2021-07-10 00:00:00","2021-12-15 00:00:00",monthly,monthly,157202,4628,5702,97
NULL,"2021-11-25 00:00:00","2021-01-28 23:46:34","2021-10-15 12:07:34","2021-10-13 00:00:00","2021-12-15 00:00:00","2021-10-09 00:00:00","2021-12-15 00:00:00",monthly,monthly,6656,3013,5708,2
NULL,"2022-05-27 00:00:00","2021-04-10 18:02:41","2021-10-26 07:54:47","2021-07-20 00:00:00","2022-11-26 00:00:00","2021-07-10 00:00:00","2022-11-26 00:00:00",monthly,annual,3272,4012,5734,98
"2021-03-18 00:00:00","2022-09-07 00:00:00","2021-03-18 15:39:22","2021-11-01 22:52:29","2021-03-22 00:00:00","2022-11-01 00:00:00","2022-03-18 00:00:00","2022-11-01 00:00:00",annual,annual,147116,3753,5745,224
"2021-03-17 00:00:00",NULL,"2021-01-28 23:46:06","2021-11-22 19:24:12","2021-04-15 00:00:00",NULL,"2021-04-15 03:00:00","2023-02-22 00:00:00",annual,annual,3577,2871,5871,221
"2021-07-06 00:00:00",NULL,"2021-04-07 19:31:15","2021-11-24 01:51:15","2021-07-07 00:00:00",NULL,"2021-07-07 00:00:00","2023-11-24 00:00:00",monthly,annual,2591,3987,5985,140
"2021-09-14 00:00:00","2022-03-02 00:00:00","2021-07-16 01:25:07","2021-11-24 02:53:17","2021-09-16 00:00:00","2022-03-24 00:00:00","2021-09-16 00:00:00","2022-03-24 00:00:00",monthly,monthly,160562,4838,5990,69
"2021-08-08 00:00:00","2022-08-23 00:00:00","2021-01-28 23:44:53","2021-11-24 17:39:23","2021-09-07 00:00:00","2022-11-24 00:00:00","2021-09-07 03:00:00","2022-11-24 00:00:00",annual,annual,1928,1462,6041,78
NULL,NULL,"2021-01-28 23:44:53","2021-11-24 17:48:59","2021-10-10 00:00:00",NULL,"2021-10-01 03:00:00","2023-11-24 00:00:00",annual,annual,4054,1217,6042,45
NULL,NULL,"2021-01-28 23:46:06","2021-11-25 19:26:32","2021-04-26 00:00:00","2022-12-04 00:00:00","2021-04-17 03:00:00","2022-11-25 00:00:00",annual,annual,1235,2715,6124,213
"2021-04-10 00:00:00",NULL,"2021-01-28 23:46:06","2021-11-25 20:19:39","2021-04-17 00:00:00","2022-12-04 00:00:00","2021-04-17 03:00:00","2022-11-25 00:00:00",annual,annual,5749,2712,6127,222
"2021-04-09 00:00:00","2022-11-23 00:00:00","2021-01-28 23:46:06","2021-11-25 21:11:37","2021-04-16 00:00:00","2022-11-25 00:00:00","2021-04-16 03:00:00","2022-11-25 00:00:00",annual,annual,11793,2766,6129,223
"2021-04-12 00:00:00","2021-12-29 00:00:00","2021-01-28 23:46:06","2021-11-26 12:57:23","2021-04-15 00:00:00","2022-01-26 00:00:00","2021-04-15 03:00:00","2022-01-26 00:00:00",annual,monthly,1867,2872,6171,225
"2021-01-22 02:00:00",NULL,"2021-01-28 23:44:53","2021-11-26 18:47:18","2021-02-11 00:00:00",NULL,"2021-02-11 02:00:00","2023-02-26 00:00:00",monthly,annual,1221,1443,6207,288
NULL,NULL,"2021-07-25 21:28:00","2021-11-27 06:49:57","2021-08-16 00:00:00",NULL,"2022-07-25 00:00:00","2023-02-27 00:00:00",annual,annual,27787,4969,6268,103
"2021-03-22 00:00:00","2023-01-09 00:00:00","2021-02-13 08:23:06","2021-11-27 06:57:16","2021-04-13 00:00:00","2023-02-27 00:00:00","2021-04-13 00:00:00","2023-02-27 00:00:00",monthly,annual,12284,3356,6269,228
"2021-05-20 00:00:00",NULL,"2021-01-28 23:44:54","2021-11-27 23:38:53","2021-05-23 00:00:00",NULL,"2021-05-23 03:00:00","2023-02-27 00:00:00",annual,annual,5143,1979,6347,188
NULL,NULL,"2021-06-24 22:13:53","2021-11-29 12:32:38","2021-10-28 00:00:00","2022-05-02 00:00:00","2021-10-24 00:00:00","2022-04-28 00:00:00",monthly,monthly,158105,4710,6693,32
NULL,NULL,"2021-01-28 23:46:06","2021-11-29 13:17:59","2021-04-28 00:00:00","2022-12-08 00:00:00","2021-04-19 03:00:00","2022-11-29 00:00:00",annual,annual,10690,2608,6715,215
"2021-09-23 00:00:00",NULL,"2021-01-28 23:44:53","2021-11-29 14:26:49","2021-09-24 00:00:00",NULL,"2021-09-24 03:00:00","2024-02-29 00:00:00",annual,annual,8539,1287,6740,66
"2021-05-29 00:00:00","2022-11-29 00:00:00","2021-05-29 19:07:41","2021-11-29 16:22:49","2021-06-29 00:00:00","2022-11-29 00:00:00","2021-06-29 00:00:00","2023-11-29 00:00:00",monthly,annual,148670,4392,6767,153
NULL,NULL,"2021-01-28 23:46:06","2021-11-29 17:11:45","2021-05-02 00:00:00","2022-12-08 00:00:00","2021-04-23 03:00:00","2022-11-29 00:00:00",annual,annual,9754,2388,6772,211
"2021-06-09 00:00:00",NULL,"2021-01-28 23:44:54","2021-11-29 23:25:55","2021-07-09 00:00:00",NULL,"2021-07-09 03:00:00","2023-11-29 00:00:00",annual,annual,5509,1736,6798,143
"2021-09-27 00:00:00",NULL,"2021-01-28 23:44:53","2021-11-30 21:27:41","2021-10-01 00:00:00",NULL,"2021-10-01 03:00:00","2023-11-30 00:00:00",annual,annual,142965,1196,6849,60
"2021-01-26 02:00:00",NULL,"2021-01-28 23:44:54","2021-12-01 23:49:54","2021-06-15 00:00:00",NULL,"2021-06-15 03:00:00","2023-03-01 00:00:00",annual,annual,1016,1901,6957,169
"2021-11-11 00:00:00",NULL,"2021-01-28 23:44:10","2021-12-02 04:33:27","2021-11-28 00:00:00",NULL,"2021-11-28 02:00:00","2023-12-02 00:00:00",annual,annual,6623,792,6984,4
NULL,"2022-07-29 00:00:00","2021-01-28 23:46:06","2021-12-03 12:19:10","2021-10-20 00:00:00","2022-08-03 00:00:00","2021-10-16 00:00:00","2022-08-03 00:00:00",monthly,monthly,10393,2828,7027,44
NULL,NULL,"2021-01-28 23:46:06","2021-12-05 03:59:08","2021-05-01 00:00:00","2022-12-14 00:00:00","2021-04-22 03:00:00","2022-12-05 00:00:00",annual,annual,7790,2425,7039,218
NULL,NULL,"2021-01-28 23:46:06","2021-12-10 02:00:17","2021-05-06 00:00:00","2022-01-14 00:00:00","2021-04-27 03:00:00","2022-01-10 00:00:00",annual,monthly,14463,2180,7071,218
NULL,"2022-01-19 00:00:00","2021-05-22 21:38:58","2021-12-18 20:53:17","2021-06-23 00:00:00","2022-02-18 00:00:00","2021-06-22 00:00:00","2022-02-18 00:00:00",monthly,monthly,7437,4295,7128,178
NULL,"2022-01-04 00:00:00","2021-05-09 17:12:00","2021-12-20 14:45:24","2021-10-11 00:00:00","2022-01-20 00:00:00","2022-10-09 00:00:00","2022-01-20 00:00:00",annual,monthly,152766,4212,7137,70
"2021-01-14 02:00:00",NULL,"2021-01-28 23:44:53","2021-12-22 08:13:49","2021-10-30 03:00:00",NULL,"2023-11-30 00:00:00","2023-12-22 00:00:00",annual,annual,1107,1095,7154,53
"2021-10-17 00:00:00","2022-01-31 00:00:00","2021-04-10 07:33:32","2022-01-06 11:18:17","2021-10-18 00:00:00","2022-02-06 00:00:00","2022-10-10 00:00:00","2022-02-06 00:00:00",annual,monthly,148786,4008,7278,80
NULL,"2022-04-27 00:00:00","2021-01-28 23:44:10","2022-01-06 18:35:14","2021-12-11 00:00:00","2022-05-06 00:00:00","2021-12-02 02:00:00","2022-05-06 00:00:00",annual,monthly,4160,618,7280,26
"2021-10-16 00:00:00",NULL,"2021-01-28 23:44:54","2022-01-11 17:43:38","2021-10-14 00:00:00","2023-01-20 00:00:00","2021-10-14 00:00:00","2023-01-11 00:00:00",annual,annual,8095,1662,7326,89
NULL,NULL,"2021-01-28 23:46:06","2022-01-12 19:49:41","2021-05-13 00:00:00","2023-01-21 00:00:00","2021-05-04 03:00:00","2023-01-12 00:00:00",annual,annual,2555,2053,7345,244
"2021-06-30 00:00:00",NULL,"2021-06-03 09:57:09","2022-01-13 10:05:53","2021-07-01 00:00:00","2022-02-13 00:00:00","2022-06-03 00:00:00","2022-02-13 00:00:00",annual,monthly,156716,4550,7349,196
NULL,NULL,"2021-01-28 23:44:10","2022-01-14 13:21:51","2021-12-12 00:00:00","2023-01-23 00:00:00","2021-12-03 02:00:00","2023-01-14 00:00:00",annual,annual,1426,595,7358,33
"2021-11-27 00:00:00",NULL,"2021-01-28 23:44:10","2022-01-16 20:27:04","2021-11-26 00:00:00","2022-02-20 00:00:00","2021-11-26 02:00:00","2022-02-16 00:00:00",annual,monthly,7538,860,7381,51
"2021-07-22 00:00:00",NULL,"2021-02-22 00:52:31","2022-01-17 19:40:37","2021-07-22 00:00:00",NULL,"2021-07-22 00:00:00","2024-01-17 00:00:00",monthly,annual,145311,3431,7394,179
NULL,"2022-04-18 00:00:00","2021-04-29 12:18:05","2022-01-20 21:52:13","2021-12-03 00:00:00","2022-04-20 00:00:00","2021-11-29 00:00:00","2022-04-20 00:00:00",monthly,monthly,151575,4144,7458,48
"2021-08-07 00:00:00","2022-11-28 00:00:00","2021-01-28 23:44:53","2022-01-23 11:45:01","2021-09-07 00:00:00","2023-01-23 00:00:00","2021-09-07 03:00:00","2023-01-23 00:00:00",annual,annual,13006,1460,7502,138
NULL,NULL,"2021-01-28 23:44:10","2022-01-26 11:53:31","2021-12-12 00:00:00",NULL,"2021-12-03 02:00:00","2023-01-26 00:00:00",annual,annual,3852,609,7573,45
"2021-11-29 00:00:00",NULL,"2021-01-28 23:44:10","2022-01-26 17:34:24","2021-11-30 00:00:00",NULL,"2021-11-30 02:00:00","2024-01-26 00:00:00",annual,annual,7142,671,7582,57
"2021-03-16 00:00:00",NULL,"2021-01-28 23:46:06","2022-01-27 03:51:52","2021-04-22 00:00:00",NULL,"2021-04-22 03:00:00","2023-06-17 00:00:00",annual,annual,1581,2448,7598,280
"2021-11-28 00:00:00",NULL,"2021-01-28 23:44:10","2022-01-27 06:02:36","2021-11-28 00:00:00",NULL,"2021-11-28 02:00:00","2023-04-27 00:00:00",annual,annual,7329,785,7600,60
"2021-12-03 00:00:00","2022-02-18 00:00:00","2021-01-28 23:44:53","2022-01-28 16:03:28","2021-12-09 00:00:00","2022-02-28 00:00:00","2021-12-09 00:00:00","2022-02-28 00:00:00",annual,monthly,987,1449,7695,50
NULL,NULL,"2021-01-28 23:44:10","2022-02-01 10:48:48","2022-01-30 00:00:00",NULL,"2022-01-21 02:00:00","2023-02-01 00:00:00",annual,annual,1538,95,7712,2
NULL,NULL,"2021-07-05 18:15:26","2022-02-05 17:18:44","2021-11-09 00:00:00","2022-03-09 00:00:00","2021-11-05 00:00:00","2022-03-05 00:00:00",annual,monthly,159101,4766,7749,88
"2021-05-22 00:00:00","2022-03-20 05:50:28","2021-01-28 23:44:10","2022-02-10 03:16:38","2021-06-06 00:00:00","2022-04-10 03:21:01","2021-06-06 00:00:00","2022-03-10 03:16:38",monthly,monthly,3728,358,7804,249
"2021-02-12 00:00:00",NULL,"2021-02-12 16:08:43","2022-02-14 15:26:18","2022-02-12 00:00:00",NULL,"2022-02-12 00:00:00","2023-02-14 15:26:18",annual,annual,144644,3350,7834,2
"2021-03-25 00:00:00",NULL,"2021-01-28 23:46:34","2022-02-14 17:23:19","2021-04-01 00:00:00",NULL,"2021-04-01 03:00:00","2023-02-14 17:23:19",annual,annual,3236,3108,7836,319
"2021-03-29 00:00:00",NULL,"2021-01-28 23:46:34","2022-02-14 18:35:42","2021-04-05 00:00:00",NULL,"2021-04-05 03:00:00","2023-02-14 18:35:42",annual,annual,10422,3069,7837,315
"2021-08-12 00:00:00",NULL,"2021-01-28 23:44:53","2022-02-14 18:57:32","2021-08-30 00:00:00",NULL,"2021-08-30 03:00:00","2023-02-14 18:57:32",annual,annual,3984,1496,7838,168
NULL,NULL,"2021-01-28 23:44:53","2022-02-15 13:05:29","2022-02-06 00:00:00",NULL,"2022-02-02 00:00:00","2023-02-15 13:05:29",monthly,annual,5955,1184,7852,9
NULL,NULL,"2021-01-30 15:47:35","2022-02-16 14:28:09","2022-02-01 00:00:00",NULL,"2022-01-30 00:00:00","2023-02-16 14:28:09",annual,annual,143510,3216,7864,15
NULL,NULL,"2021-01-28 23:44:10","2022-02-16 15:37:18","2021-12-05 00:00:00",NULL,"2021-12-04 02:00:00","2023-02-16 15:37:18",annual,annual,6773,575,7866,73
NULL,NULL,"2021-01-28 23:44:10","2022-02-16 16:33:34","2021-11-30 00:00:00",NULL,"2021-11-21 02:00:00","2023-02-16 16:33:34",annual,annual,4795,948,7868,78
NULL,NULL,"2021-06-29 09:41:23","2022-02-16 19:52:31","2021-09-02 00:00:00",NULL,"2021-08-29 00:00:00","2023-02-16 19:52:31",monthly,annual,158463,4729,7873,167
NULL,NULL,"2021-01-28 23:44:10","2022-02-16 20:44:03","2022-01-30 00:00:00",NULL,"2022-01-21 02:00:00","2023-02-16 20:44:03",annual,annual,1809,88,7874,17
NULL,NULL,"2021-01-28 23:44:10","2022-02-16 22:45:08","2022-01-21 00:00:00",NULL,"2023-01-21 00:00:00","2023-02-16 22:45:08",annual,annual,1754,94,7875,26
"2021-03-19 00:00:00",NULL,"2021-01-28 23:46:06","2022-02-17 03:00:33","2021-04-18 00:00:00",NULL,"2021-04-18 03:00:00","2023-02-17 03:00:33",annual,annual,6618,2654,7876,305
"2021-11-29 00:00:00",NULL,"2021-01-28 23:44:10","2022-02-17 04:16:09","2022-01-14 00:00:00",NULL,"2022-01-14 02:00:00","2023-02-17 04:16:09",annual,annual,2741,235,7878,34
"2021-08-24 00:00:00","2022-12-16 09:37:58","2021-01-28 23:44:53","2022-02-17 06:07:34","2021-09-24 00:00:00","2023-02-17 06:07:34","2021-09-24 03:00:00","2023-02-17 06:07:34",annual,annual,5389,1291,7880,146
"2021-10-07 00:00:00",NULL,"2021-01-28 23:44:54","2022-02-17 06:09:42","2021-10-08 00:00:00",NULL,"2021-10-08 00:00:00","2023-02-17 06:09:42",annual,annual,5774,1753,7881,132
NULL,NULL,"2021-01-28 23:46:06","2022-02-17 06:42:44","2021-04-30 00:00:00",NULL,"2021-04-21 03:00:00","2023-02-17 06:42:44",annual,annual,22364,2505,7882,293
"2021-02-11 00:00:00",NULL,"2021-01-28 23:44:10","2022-02-17 07:29:58","2021-12-04 00:00:00",NULL,"2021-12-04 02:00:00","2023-02-17 07:29:58",annual,annual,6726,584,7885,75
"2021-09-18 00:00:00",NULL,"2021-01-28 23:44:53","2022-02-17 11:28:57","2021-09-12 00:00:00",NULL,"2021-09-12 03:00:00","2023-02-17 11:28:57",annual,annual,4884,1442,7890,158
"2021-03-22 00:00:00",NULL,"2021-01-28 23:46:34","2022-02-17 12:05:03","2021-03-26 00:00:00",NULL,"2021-03-26 02:00:00","2023-02-17 12:05:03",annual,annual,13478,3121,7891,328
NULL,NULL,"2021-03-06 23:53:37","2022-02-17 12:22:45","2021-05-10 00:00:00",NULL,"2021-05-06 00:00:00","2023-02-17 12:22:45",monthly,annual,1923,3573,7893,283
NULL,NULL,"2021-01-28 23:44:10","2022-02-17 14:09:48","2021-12-12 00:00:00",NULL,"2021-12-03 02:00:00","2023-02-17 14:09:48",annual,annual,5254,594,7895,67
"2021-11-17 00:00:00","2022-03-09 15:15:06","2021-01-28 23:44:10","2022-03-09 15:05:14","2022-01-14 00:00:00",NULL,"2022-01-14 02:00:00","2023-03-09 15:05:14",annual,annual,3115,239,8063,54
NULL,NULL,"2021-01-28 23:44:10","2022-03-13 15:43:36","2022-03-10 00:00:00",NULL,"2022-03-01 00:00:00","2023-03-13 15:43:36",annual,annual,3423,642,8101,3
"2021-06-30 00:00:00","2022-05-02 23:35:15","2021-01-28 23:44:54","2022-03-20 22:54:56","2021-07-13 00:00:00","2022-05-20 23:01:13","2021-07-13 03:00:00","2022-04-20 22:54:56",annual,monthly,4435,1672,8167,250
"2021-12-21 00:00:00","2022-03-23 14:54:26","2021-01-28 23:44:53","2022-03-23 14:48:28","2021-12-27 00:00:00","2022-03-25 09:48:12","2021-12-26 00:00:00","2023-03-23 14:48:28",annual,annual,4231,1257,8196,86
NULL,NULL,"2021-01-28 23:44:54","2022-03-24 12:07:02","2021-07-28 00:00:00",NULL,"2021-06-30 03:00:00","2023-03-24 12:07:02",annual,annual,4784,1856,8210,239
NULL,NULL,"2021-01-28 23:46:34","2022-03-27 15:51:56","2021-04-20 00:00:00",NULL,"2021-04-11 03:00:00","2023-03-27 15:51:56",annual,annual,1019,2985,8259,341
"2021-02-16 00:00:00",NULL,"2021-01-28 23:46:34","2022-03-28 17:42:07","2021-02-23 00:00:00",NULL,"2021-02-23 02:00:00","2023-03-28 17:42:07",annual,annual,1521,3162,8273,398
"2021-02-07 00:00:00",NULL,"2021-01-28 23:44:10","2022-03-31 01:17:16","2022-01-14 00:00:00",NULL,"2022-01-14 02:00:00","2023-03-31 01:17:16",annual,annual,2840,256,8373,76
"2021-02-08 00:00:00",NULL,"2021-01-28 23:46:34","2022-03-31 02:30:20","2022-02-24 00:00:00",NULL,"2022-02-15 00:00:00","2023-11-30 02:05:34",annual,annual,5325,3175,8379,35
NULL,NULL,"2021-01-28 23:46:06","2022-03-31 05:09:07","2021-04-27 00:00:00",NULL,"2021-04-18 03:00:00","2023-03-31 05:09:07",annual,annual,1306,2658,8391,338
"2021-01-04 02:00:00",NULL,"2021-01-28 23:44:10","2022-04-02 06:42:37","2021-02-03 00:00:00","2022-05-15 07:21:01","2021-02-03 02:00:00","2022-05-02 06:42:37",monthly,monthly,4011,391,8414,423
NULL,NULL,"2021-02-03 05:28:58","2022-04-02 08:03:42","2022-02-12 00:00:00",NULL,"2022-02-03 00:00:00","2023-04-02 08:03:42",annual,annual,143799,3261,8415,49
NULL,NULL,"2021-01-28 23:44:10","2022-04-05 15:36:13","2021-12-04 00:00:00",NULL,"2021-11-25 02:00:00","2023-04-05 15:36:13",annual,annual,1046,907,8437,122
"2022-01-11 00:00:00","2022-04-09 19:36:22","2021-03-22 17:44:56","2022-04-09 19:34:36","2022-03-22 00:00:00","2022-05-09 19:41:13","2022-03-22 00:00:00","2022-05-09 19:34:36",annual,monthly,147448,3825,8482,18
"2021-06-16 00:00:00",NULL,"2021-02-26 14:20:11","2022-04-12 15:09:50","2021-06-26 00:00:00","2022-05-25 15:40:42","2021-06-26 00:00:00","2022-05-12 15:09:50",monthly,monthly,144912,3483,8507,290
"2021-11-29 00:00:00",NULL,"2021-01-28 23:44:53","2022-04-13 22:40:14","2021-12-30 00:00:00","2022-10-26 23:20:37","2021-12-30 00:00:00","2022-10-13 22:40:14",annual,monthly,7873,1230,8526,104
"2021-11-18 00:00:00",NULL,"2021-01-28 23:44:10","2022-04-14 11:46:49","2021-11-27 00:00:00",NULL,"2021-11-27 02:00:00","2023-04-14 11:46:49",annual,annual,6862,845,8533,138
"2022-03-29 00:00:00",NULL,"2021-01-28 23:44:10","2022-04-25 15:40:49","2022-04-14 00:00:00","2022-06-07 16:21:01","2022-04-14 00:00:00","2022-05-25 15:40:49",annual,monthly,2737,234,8612,11
"2022-04-10 00:00:00","2022-05-24 13:26:58","2021-01-28 23:44:10","2022-05-06 10:33:59","2022-04-11 00:00:00","2022-05-25 05:46:05","2022-04-11 00:00:00","2023-05-06 10:33:59",annual,annual,840,301,8696,25
NULL,"2022-06-07 17:07:58","2021-01-28 23:46:06","2022-05-07 16:09:44","2022-05-02 00:00:00","2022-07-07 16:22:36","2022-04-23 00:00:00","2022-07-07 16:09:44",annual,monthly,969,2397,8703,5
NULL,NULL,"2021-04-30 08:52:22","2022-05-11 16:12:20","2022-05-09 00:00:00",NULL,"2022-04-30 00:00:00","2023-05-11 16:12:20",annual,annual,151694,4149,8731,2
"2021-04-28 00:00:00","2022-06-09 20:48:05","2021-01-28 23:44:54","2022-05-12 21:58:56","2021-05-28 00:00:00","2022-06-12 22:01:02","2021-05-28 03:00:00","2022-06-12 21:58:56",annual,monthly,15743,1969,8743,349
"2021-07-16 00:00:00","2022-07-06 09:58:05","2021-05-26 16:06:13","2022-05-17 06:59:20","2021-07-26 00:00:00","2022-07-17 07:00:31","2021-07-26 00:00:00","2022-07-17 06:59:20",monthly,monthly,156057,4331,8774,295
"2022-03-27 00:00:00",NULL,"2021-04-11 15:46:28","2022-05-22 16:24:20","2022-04-11 00:00:00",NULL,"2022-04-11 00:00:00","2023-05-22 16:24:20",annual,annual,148825,4018,8825,41
"2021-03-23 00:00:00",NULL,"2021-03-23 06:45:39","2022-05-24 07:09:08","2022-03-23 00:00:00",NULL,"2022-03-23 00:00:00","2023-05-24 07:09:08",annual,annual,145813,3837,8841,62
"2021-01-31 00:00:00","2023-01-14 21:42:04","2021-01-28 23:44:53","2022-05-26 21:57:44","2021-02-28 00:00:00","2023-05-26 21:57:44","2021-02-28 02:00:00","2023-05-26 21:57:44",monthly,annual,9808,1107,8873,452
"2021-08-24 00:00:00",NULL,"2021-01-28 23:44:53","2022-05-26 22:08:07","2021-09-24 00:00:00",NULL,"2021-09-24 03:00:00","2023-05-26 22:08:07",annual,annual,1468,1310,8874,244
"2022-01-04 00:00:00","2022-05-27 18:09:46","2021-01-28 23:44:10","2022-05-27 18:06:53","2022-01-04 00:00:00","2023-05-27 18:06:53","2023-01-04 00:00:00","2023-05-27 18:06:53",annual,annual,1909,386,8886,143
"2021-05-04 00:00:00",NULL,"2021-01-28 23:44:10","2022-05-29 11:00:54","2021-05-13 00:00:00",NULL,"2021-06-04 00:00:00","2023-05-29 11:00:54",monthly,annual,618,382,8904,381
NULL,NULL,"2021-04-19 02:17:25","2022-05-29 21:26:04","2022-04-28 00:00:00",NULL,"2022-04-19 00:00:00","2023-05-29 21:26:04",annual,annual,149849,4069,8920,31
"2022-05-23 00:00:00",NULL,"2021-01-28 23:46:34","2022-05-30 02:09:13","2022-05-25 00:00:00",NULL,"2022-05-25 00:00:00","2023-05-30 02:09:13",annual,annual,1480,3160,8928,5
NULL,NULL,"2021-03-13 09:58:44","2022-06-01 03:05:11","2021-05-17 00:00:00",NULL,"2021-05-13 00:00:00","2023-06-01 03:05:11",monthly,annual,1159,3631,9033,380
"2021-08-02 00:00:00",NULL,"2021-01-28 23:44:10","2022-06-01 05:49:14","2021-11-28 00:00:00",NULL,"2021-11-28 02:00:00","2023-06-01 05:49:14",annual,annual,2881,815,9054,185
